Key Indicator,Constituent ID,Age,Preferred State,Gift Date,Gift Amount,Fund Split Amount,Fund Description,Campaign Description,Total Amount of Gifts_1,Gift Total Number of Gifts_1,Gift Payment Type,Gift Batch Description,First Gift Date,First Gift Amount,Last Gift Date,Last Gift Amount
"Individual","8944","60","New Jersey","4/25/2023","$450.00","$160.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$4,045.00","9","Venmo","NetCommunity Event Registration Fees","6/30/1989","$100.00","8/12/2024","$50.00"
"Individual","8944","60","New Jersey","4/25/2023","$450.00","$290.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$4,045.00","9","Venmo","NetCommunity Event Registration Fees","6/30/1989","$100.00","8/12/2024","$50.00"
"Individual","408242","","New Jersey","5/31/2023","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Venmo","NetCommunity Donations","5/31/2023","$50.00","5/31/2023","$50.00"
"Individual","407834","","","5/3/2023","$35.00","$35.00","331-Unrestricted","New Campaign","$35.00","1","Venmo","NetCommunity Event Registration Fees","5/3/2023","$35.00","5/3/2023","$35.00"
"Individual","39161","50","Florida","4/28/2023","$100.00","$100.00","331-Unrestricted","New Campaign","$223.00","2","Venmo","NetCommunity Event Registration Fees","3/12/1996","$25.00","5/18/2023","$123.00"
"Individual","386721","37","New Jersey","12/31/2023","$50.00","$50.00","505-General Scholarship Fund","New Campaign","$125.00","4","Venmo","NetCommunity Donations","12/23/2009","$10.00","12/31/2023","$50.00"
"Individual","408134","","","5/2/2023","$35.00","$35.00","331-Unrestricted","New Campaign","$35.00","1","Venmo","NetCommunity Event Registration Fees","5/2/2023","$35.00","5/2/2023","$35.00"
"Individual","11530","64","New Jersey","11/14/2023","$25.00","$25.00","331-Unrestricted","New Campaign","$327.29","8","Venmo","NetCommunity Donations","6/30/1983","$10.00","4/10/2024","$51.44"
"Individual","408153","55","","5/5/2023","$35.00","$35.00","331-Unrestricted","New Campaign","$35.00","1","Venmo","NetCommunity Event Registration Fees","5/5/2023","$35.00","5/5/2023","$35.00"
"Individual","409743","","Massachusetts","11/24/2023","$250.00","$250.00","874-Center for Military & Veterans Services","New Campaign","$250.00","1","Venmo","NetCommunity Donations","11/24/2023","$250.00","11/24/2023","$250.00"
"Individual","47072","48","New Jersey","6/7/2024","$0.00","$0.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$3,803.30","27","PayPal","","6/30/2003","$25.00","11/21/2024","$50.00"
"Individual","94160","74","New Jersey","3/1/2023","$500.00","$500.00","152-Peacock Nation","New Campaign","$29,106.26","22","PayPal","NetCommunity Donations","8/30/1990","$500.00","12/3/2024","$514.35"
"Individual","407842","","","4/10/2024","$51.44","$51.44","146-Campus Ministry","New Campaign","$202.88","3","PayPal","SPD Gifts as of 4.16.24","11/29/2022","$100.00","4/10/2024","$51.44"
"Individual","13602","73","Florida","4/10/2024","$516.41","$2.06","146-Campus Ministry","New Campaign","$516.41","1","PayPal","SPD Gifts as of 4.16.24","6/30/1974","$25.00","4/10/2024","$516.41"
"Individual","42116","49","New Jersey","3/3/2023","$50.00","$50.00","152-Peacock Nation","New Campaign","$4,002.56","14","PayPal","NetCommunity Event Registration Fees","4/6/1999","$50.00","10/27/2023","$4,000.00"
"Individual","409499","35","New Jersey","3/17/2024","$30.86","$10.29","152-Peacock Nation","New Campaign","$56.58","2","PayPal","","3/17/2024","$30.86","4/10/2024","$25.72"
"Individual","1147","65","New Jersey","4/29/2024","$155.00","$154.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$6,292.55","15","PayPal","","6/30/1983","$75.00","10/30/2024","$250.00"
"Individual","13559","74","Connecticut","5/1/2024","$1,000.00","$1,000.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$1,907.15","6","PayPal","Amendment Batch","6/30/1972","$25.00","9/21/2024","$100.00"
"Individual","13559","74","Connecticut","5/24/2024","$500.00","$192.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$1,907.15","6","PayPal","Amendment Batch","6/30/1972","$25.00","9/21/2024","$100.00"
"Individual","410299","","","5/7/2024","$500.00","$192.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$500.00","2","PayPal","Amendment Batch","5/7/2024","$0.00","5/7/2024","$500.00"
"Individual","18394","84","Florida","5/21/2024","$2,000.00","$768.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$54,000.00","26","PayPal","","6/30/1973","$105.00","5/21/2024","$2,000.00"
"Individual","406135","","New Jersey","2/6/2023","$500.00","$500.00","152-Peacock Nation","New Campaign","$1,711.02","5","PayPal","NetCommunity Donations","2/22/2022","$500.00","12/17/2023","$100.00"
"Individual","14322","60","New Jersey","3/23/2023","$1,000.00","$1,000.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$41,975.00","14","PayPal","NetCommunity Event Registration Fees","6/30/1987","$50.00","12/3/2024","$102.87"
"Individual","1147","65","New Jersey","4/30/2023","$150.00","$5.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$6,292.55","15","PayPal","NetCommunity Event Registration Fees","6/30/1983","$75.00","10/30/2024","$250.00"
"Individual","401496","56","New Jersey","3/29/2023","$150.00","$5.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$703.84","6","PayPal","NetCommunity Event Registration Fees","4/12/2019","$100.00","3/29/2023","$150.00"
"Individual","14104","72","New Jersey","12/17/2022","$50.00","$50.00","152-Peacock Nation","New Campaign","$50.00","1","PayPal","NetCommunity Event Registration Fees","6/30/1976","$10.00","8/15/2024","$0.00"
"Individual","14257","63","New Jersey","2/2/2024","$25.00","$25.00","152-Peacock Nation","New Campaign","$1,603.40","16","PayPal","Peacock Nation Day - Almabase gifts","6/30/1984","$50.00","12/3/2024","$75.00"
